Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_null,MasVnrArea_null,GarageYrBlt_null
23,20,RL,4.31748811353631,9.184201714366488,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,6.0,6.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777.0,1777.0,GasA,Ex,Y,SBrkr,7.492760300922379,0.0,0,7.492760300922379,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,6.0,RFn,2,534.0,TA,TA,Y,171.0,159.0,0.0,0,0.0,0,Missing,0,9,2008,WD,Normal,12.345834587905333,0,0,0
24,120,RM,3.784189633918261,8.348537825386098,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,31.0,31.0,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,1040.0,GasA,TA,Y,SBrkr,6.966024187106113,0.0,0,6.966024187106113,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,31.0,Unf,2,572.0,TA,TA,Y,100.0,110.0,0.0,0,0.0,0,Missing,0,6,2007,WD,Normal,11.77452020265869,0,0,0
25,20,RL,4.23410650459726,9.017483513266844,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,42.0,9.0,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,0.0,204.0,1060.0,GasA,Ex,Y,SBrkr,6.966024187106113,0.0,0,6.966024187106113,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,42.0,Unf,1,270.0,TA,TA,Y,406.0,90.0,0.0,0,0.0,0,MnPrv,0,5,2010,WD,Normal,11.944707881395766,1,0,0
26,20,RL,4.700480365792417,9.563107691083898,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2.0,2.0,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,1566.0,GasA,Ex,Y,SBrkr,7.3777589082278725,0.0,0,7.3777589082278725,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2.0,RFn,3,890.0,TA,TA,Y,0.0,56.0,0.0,0,0.0,0,Missing,0,7,2009,WD,Normal,12.454103912352162,0,0,0
27,20,RL,4.0943445622221,8.881836305004146,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,59.0,10.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,900.0,GasA,TA,Y,SBrkr,6.802394763324311,0.0,0,6.802394763324311,0,1,1,0,3,1,Gd,5,Typ,0,Missing,Detchd,5.0,Unf,2,576.0,TA,TA,Y,222.0,32.0,0.0,0,0.0,0,Missing,0,5,2010,WD,Normal,11.811547477460344,0,0,0
28,20,RL,4.584967478670572,9.348187438668308,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,3.0,2.0,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,7.440733707389261,0.0,0,7.440733707389261,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2.0,RFn,3,772.0,TA,TA,Y,0.0,50.0,0.0,0,0.0,0,Missing,0,5,2010,WD,Normal,12.631340380934517,0,0,0
29,20,RL,3.8501476017100584,9.700207901150696,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,49.0,9.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,1484.0,GasA,TA,Y,SBrkr,7.3777589082278725,0.0,0,7.3777589082278725,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,49.0,RFn,1,319.0,TA,TA,Y,288.0,25.0,0.0,0,0.0,0,Missing,0,12,2006,WD,Normal,12.24288661865289,0,0,0
30,30,RM,4.0943445622221,8.752107198329362,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Rare,1Fam,1Story,4,6,81.0,58.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,Fa,N,SBrkr,6.253828811575473,0.0,0,7.288927694521257,0,0,1,0,1,1,Fa,4,Typ,0,Missing,Detchd,88.0,Unf,1,240.0,Fa,TA,Y,49.0,0.0,87.0,0,0.0,0,Missing,0,5,2008,WD,Normal,11.134589024250317,0,0,0
31,70,Rare,3.912023005428146,9.047821442478408,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,88.0,58.0,Rare,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,649.0,GasA,TA,N,SBrkr,6.47543271670409,668.0,0,7.183111701743281,0,0,1,0,3,1,TA,6,Typ,0,Missing,Detchd,88.0,Unf,1,250.0,TA,Fa,N,0.0,54.0,172.0,0,0.0,0,MnPrv,0,7,2008,WD,Normal,10.596634733096073,0,0,0
32,20,RL,4.23410650459726,9.052984561199976,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,42.0,2.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,1228.0,GasA,Gd,Y,SBrkr,7.113142108707088,0.0,0,7.113142108707088,0,0,1,1,3,1,Gd,6,Typ,0,Missing,Attchd,42.0,Unf,1,271.0,TA,TA,Y,0.0,65.0,0.0,0,0.0,0,MnPrv,0,6,2008,WD,Normal,11.914047823644255,1,0,0
33,20,RL,4.442651256490317,9.310095205113175,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,1.0,1.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234.0,1234.0,GasA,Ex,Y,SBrkr,7.1180162044653335,0.0,0,7.1180162044653335,0,0,2,0,3,1,Gd,7,Typ,0,Missing,Attchd,1.0,RFn,2,484.0,TA,TA,Y,0.0,30.0,0.0,0,0.0,0,Missing,0,1,2008,WD,Normal,12.100156419938624,0,0,0
34,20,RL,4.248495242049359,9.26407069439715,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,51.0,51.0,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380.0,1398.0,GasA,Gd,Y,SBrkr,7.438383530044307,0.0,0,7.438383530044307,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,51.0,RFn,2,447.0,TA,TA,Y,0.0,38.0,0.0,0,0.0,0,Missing,0,4,2010,WD,Normal,12.016726473799254,0,0,0
35,120,RL,4.0943445622221,8.89740886527095,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2.0,2.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0.0,408.0,1561.0,GasA,Ex,Y,SBrkr,7.353081920515432,0.0,0,7.353081920515432,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2.0,Fin,2,556.0,TA,TA,Y,203.0,47.0,0.0,0,0.0,0,Missing,0,8,2007,WD,Normal,12.533576212168626,0,0,0
36,60,RL,4.68213122712422,9.504352368122833,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2.0,1.0,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1117.0,1117.0,GasA,Ex,Y,SBrkr,7.0317412587631285,1320.0,0,7.804659297056102,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2.0,Fin,3,691.0,TA,TA,Y,113.0,32.0,0.0,0,0.0,0,Missing,0,9,2006,WD,Normal,12.641096555879882,0,0,0
37,20,RL,4.718498871295094,9.2927495082169,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,15.0,14.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097.0,1097.0,GasA,Ex,Y,SBrkr,7.00033446027523,0.0,0,7.00033446027523,0,0,1,1,3,1,TA,6,Typ,0,Missing,Attchd,14.0,Unf,2,672.0,TA,TA,Y,392.0,64.0,0.0,0,0.0,0,Missing,0,6,2009,WD,Normal,11.884489021402711,0,0,0
38,20,RL,4.30406509320417,9.05157907959124,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,55.0,19.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0.0,84.0,1297.0,GasA,Gd,Y,SBrkr,7.167809184316444,0.0,0,7.167809184316444,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,55.0,Fin,2,498.0,TA,TA,Y,0.0,0.0,0.0,0,0.0,0,Missing,0,10,2009,WD,Normal,11.938193200374572,0,0,0
39,20,RL,4.219507705176107,8.977398978181862,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,57.0,3.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,6.963189985870238,0.0,0,6.963189985870238,1,0,1,0,3,1,Gd,5,Typ,0,Missing,Detchd,57.0,Unf,1,246.0,TA,TA,Y,0.0,52.0,0.0,0,0.0,0,Missing,0,1,2010,WD,Abnorml,11.59910316121128,0,0,0
40,90,RL,4.174387269895637,8.706159290928861,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,53.0,53.0,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,Missing,Missing,Missing,Missing,0.0,Missing,0.0,0.0,0.0,GasA,TA,N,Rare,7.049254841255837,0.0,0,7.049254841255837,0,0,2,0,2,2,Fa,6,Typ,0,Missing,Missing,28.0,Missing,0,0.0,Missing,Missing,N,0.0,0.0,0.0,0,0.0,0,Missing,0,6,2008,WD,Rare,11.314474526246391,0,0,1
41,20,RL,4.430816798843313,9.066239028001926,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,41.0,41.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643.0,Unf,0.0,445.0,1088.0,GasA,Ex,Y,SBrkr,7.188412736496954,0.0,0,7.188412736496954,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,41.0,RFn,2,440.0,TA,TA,Y,0.0,138.0,0.0,0,0.0,0,GdWo,0,12,2006,WD,Abnorml,11.982929094215963,0,0,0
